date,x,y,vx,vy
23-09-2022,1.501409394622880E+08,-9.238096308876731E+05,-2.949925999285836E-01,2.968579130065282E+01
24-09-2022,1.500933757963485E+08,1.641110930187314E+06,-8.061144129033480E-01,2.968583925292633E+01
25-09-2022,1.500016297627860E+08,4.205637557238336E+06,-1.317691227072921E+00,2.967665740332698E+01
26-09-2022,1.498656731424502E+08,6.768969183570091E+06,-1.829462013207505E+00,2.965816584336115E+01
27-09-2022,1.496855013281867E+08,9.330298945413403E+06,-2.341141872136037E+00,2.963031200539889E+01
28-09-2022,1.494611351505460E+08,1.188881697709163E+07,-2.852428307736185E+00,2.959308046565841E+01
29-09-2022,1.491926219648436E+08,1.444371396194695E+07,-3.363011897801333E+00,2.954650024939976E+01
30-09-2022,1.488800356776601E+08,1.699418513335430E+07,-3.872589829328815E+00,2.949064770350737E+01
01-10-2022,1.485234755617680E+08,1.953943429969961E+07,-4.380880013421896E+00,2.942564416571152E+01
02-10-2022,1.481230639052857E+08,2.207867745814600E+07,-4.887633662021077E+00,2.935164894785764E+01
03-10-2022,1.476789426898279E+08,2.461114564348247E+07,-5.392645058909403E+00,2.926884886557001E+01
04-10-2022,1.471912695629222E+08,2.713608676557760E+07,-5.895758095651538E+00,2.917744544348509E+01
05-10-2022,1.466602133922515E+08,2.965276626456407E+07,-6.396869356227387E+00,2.907764040771457E+01
06-10-2022,1.460859497242657E+08,3.216046645268028E+07,-6.895927079958743E+00,2.896961988858865E+01
07-10-2022,1.454686565524299E+08,3.465848446983070E+07,-7.392924823700748E+00,2.885353840460937E+01
08-10-2022,1.448085108971440E+08,3.714612892572680E+07,-7.887888962822223E+00,2.872950497375271E+01
09-10-2022,1.441056867135808E+08,3.962271555136250E+07,-8.380860760892647E+00,2.859757462874443E+01
10-10-2022,1.433603544825765E+08,4.208756245575882E+07,-8.871876016222283E+00,2.845774807676701E+01
11-10-2022,1.425726825030203E+08,4.453998573310854E+07,-9.360946815080105E+00,2.830997998202199E+01
12-10-2022,1.417428395162479E+08,4.697929607995232E+07,-9.848049475031340E+00,2.815419345187551E+01
13-10-2022,1.408709980297321E+08,4.940479678074494E+07,-1.033312047140422E+01,2.799029646599457E+01
14-10-2022,1.399573376742682E+08,5.181578304356889E+07,-1.081605938085550E+01,2.781819612116737E+01
15-10-2022,1.390020480998138E+08,5.421154237574039E+07,-1.129673608978693E+01,2.763780822017746E+01
16-10-2022,1.380053311763987E+08,5.659135556340434E+07,-1.177499920104351E+01,2.744906172817167E+01
17-10-2022,1.369674025051505E+08,5.895449784503853E+07,-1.225068329136975E+01,2.725189903393020E+01
18-10-2022,1.358884924030474E+08,6.130023998098624E+07,-1.272361369481233E+01,2.704627355214797E+01
19-10-2022,1.347688466010731E+08,6.362784905805649E+07,-1.319360832519575E+01,2.683214623774401E+01
20-10-2022,1.336087269125072E+08,6.593658899710181E+07,-1.366047658494803E+01,2.660948241594026E+01
21-10-2022,1.324084121079840E+08,6.822572084632027E+07,-1.412401576623733E+01,2.637825019728226E+01
22-10-2022,1.311681991828347E+08,7.049450304962386E+07,-1.458400574437548E+01,2.613842167906207E+01
23-10-2022,1.298884051093383E+08,7.274219197791103E+07,-1.504020335186733E+01,2.588997797444016E+01
24-10-2022,1.285693690143583E+08,7.496804308119860E+07,-1.549233857696261E+01,2.563291855708754E+01
25-10-2022,1.272114545093097E+08,7.717131301404484E+07,-1.594011530797974E+01,2.536727418243461E+01
26-10-2022,1.258150516668265E+08,7.935126294616067E+07,-1.638321908407667E+01,2.509312080659582E+01
27-10-2022,1.243805779883433E+08,8.150716296792580E+07,-1.682133260449562E+01,2.481059020785409E+01
28-10-2022,1.229084777651874E+08,8.363829710172838E+07,-1.725415676089065E+01,2.451987271989834E+01
29-10-2022,1.213992195605123E+08,8.574396810462517E+07,-1.768143210249444E+01,2.422120953160365E+01
30-10-2022,1.198532920332990E+08,8.782350118447217E+07,-1.810295486383432E+01,2.391487576677910E+01
31-10-2022,1.182711987616072E+08,8.987624601180777E+07,-1.851858376024806E+01,2.360115887349480E+01
01-11-2022,1.166534528964124E+08,9.190157686027122E+07,-1.892823737863219E+01,2.328033773735123E+01
02-11-2022,1.150005723560272E+08,9.389889111807290E+07,-1.933188485294745E+01,2.295266626515808E+01
03-11-2022,1.133130759901693E+08,9.586760662325768E+07,-1.972953327154711E+01,2.261836256704844E+01
04-11-2022,1.115914808786554E+08,9.780715828392401E+07,-2.012121429433819E+01,2.227760302789266E+01
05-11-2022,1.098363007777620E+08,9.971699435550971E+07,-2.050697105452071E+01,2.193052013726967E+01
06-11-2022,1.080480456750087E+08,1.015965726685284E+08,-2.088684563003214E+01,2.157720347124236E+01
07-11-2022,1.062272223903223E+08,1.034453570756459E+08,-2.126086745256971E+01,2.121770380955089E+01
08-11-2022,1.043743361074195E+08,1.052628143917886E+08,-2.162904356035069E+01,2.085204039681656E+01
09-11-2022,1.024898926228539E+08,1.070484120788438E+08,-2.199135193659822E+01,2.048021074614051E+01
10-11-2022,1.005744010007571E+08,1.088016168386634E+08,-2.234773887630725E+01,2.010220156925009E+01
11-11-2022,9.862837627486849E+07,1.105218941321511E+08,-2.269812044784807E+01,1.971799897053914E+01
12-11-2022,9.665234187803017E+07,1.122087084859826E+08,-2.304238711405939E+01,1.932759626372948E+01
13-11-2022,9.464683159180227E+07,1.138615243367841E+08,-2.338040993170189E+01,1.893099852570303E+01
14-11-2022,9.261239095326383E+07,1.154798071253138E+08,-2.371204665770047E+01,1.852822389906062E+01
15-11-2022,9.054957818794687E+07,1.170630243863214E+08,-2.403714643133512E+01,1.811930234695716E+01
16-11-2022,8.845896483125710E+07,1.186106466586608E+08,-2.435555220738599E+01,1.770427293170543E+01
17-11-2022,8.634113625116420E+07,1.201221481395656E+08,-2.466710058257361E+01,1.728318081876898E+01
18-11-2022,8.419669229883382E+07,1.215970071131546E+08,-2.497161904285877E+01,1.685607526129389E+01
19-11-2022,8.202624829458448E+07,1.230347062949195E+08,-2.526892106932884E+01,1.642300990158795E+01
20-11-2022,7.983043649409489E+07,1.244347333527322E+08,-2.555880016126735E+01,1.598404678354176E+01
21-11-2022,7.760990804917160E+07,1.257965819786311E+08,-2.584102479919673E+01,1.553926522896244E+01
22-11-2022,7.536533525233243E+07,1.271197539487195E+08,-2.611533752812472E+01,1.508877571107691E+01
23-11-2022,7.309741354431750E+07,1.284037625335080E+08,-2.638146197822962E+01,1.463273664898110E+01
24-11-2022,7.080686246598186E+07,1.296481373109704E+08,-2.663912048380182E+01,1.417136897683886E+01
25-11-2022,6.849442465513013E+07,1.308524298801702E+08,-2.688806105448136E+01,1.370496117313302E+01
26-11-2022,6.616086233691403E+07,1.320162193682091E+08,-2.712808685052555E+01,1.323385884079111E+01
27-11-2022,6.380695153348998E+07,1.331391163442717E+08,-2.735907774385153E+01,1.275843893518866E+01
28-11-2022,6.143347507141509E+07,1.342207640967942E+08,-2.758099573076428E+01,1.227907625796729E+01
29-11-2022,5.904121588165302E+07,1.352608370859523E+08,-2.779387330044328E+01,1.179611337222823E+01
30-11-2022,5.663095182784107E+07,1.362590372611622E+08,-2.799779113982546E+01,1.130984210949225E+01
01-12-2022,5.420345259939038E+07,1.372150893625036E+08,-2.819285400495360E+01,1.082049827317950E+01
02-12-2022,5.175947852573486E+07,1.381287362149866E+08,-2.837917107406439E+01,1.032826592706927E+01
03-12-2022,4.929978080617124E+07,1.389997346206814E+08,-2.855684285391193E+01,9.833286146110982E+00
04-12-2022,4.682510261748908E+07,1.398278520543447E+08,-2.872595364331683E+01,9.335666406438344E+00
05-12-2022,4.433618070633792E+07,1.406128641294763E+08,-2.888656751085988E+01,8.835488902471218E+00
06-12-2022,4.183374724041343E+07,1.413545527279827E+08,-2.903872611811056E+01,8.332817648249058E+00
07-12-2022,3.931853179951634E+07,1.420527047083997E+08,-2.918244759913991E+01,7.827704860669545E+00
08-12-2022,3.679126342154214E+07,1.427071111505894E+08,-2.931772643957976E+01,7.320197030527647E+00
09-12-2022,3.425267260704817E+07,1.433175671122593E+08,-2.944453459678557E+01,6.810340655825774E+00
10-12-2022,3.170349316826437E+07,1.438838718518116E+08,-2.956282397138984E+01,6.298187210649651E+00
11-12-2022,2.914446381415539E+07,1.444058294268731E+08,-2.967252996741099E+01,5.783796783692019E+00
12-12-2022,2.657632940271826E+07,1.448832495341682E+08,-2.977357550590601E+01,5.267239986610061E+00
13-12-2022,2.399984185664748E+07,1.453159484368276E+08,-2.986587466109081E+01,4.748598099220206E+00
14-12-2022,2.141576081061935E+07,1.457037498403081E+08,-2.994933511536707E+01,4.227961829461216E+00
15-12-2022,1.882485412025593E+07,1.460464856264023E+08,-3.002385882769682E+01,3.705429413605787E+00
16-12-2022,1.622789840286338E+07,1.463439964294559E+08,-3.008934060717964E+01,3.181105047697532E+00
17-12-2022,1.362567979074775E+07,1.465961321342109E+08,-3.014566467157990E+01,2.655098860494920E+00
18-12-2022,1.101899504835477E+07,1.468027524874248E+08,-3.019269983675243E+01,2.127529814247834E+00
19-12-2022,8.408653113054307E+06,1.469637281370443E+08,-3.023029487138686E+01,1.598532906412773E+00
20-12-2022,5.795476934915585E+06,1.470789425117469E+08,-3.025827679916513E+01,1.068271447122552E+00
21-12-2022,3.180305194928750E+06,1.471482949544127E+08,-3.027645613628552E+01,5.369534117528216E-01
22-12-2022,5.639931228828912E+05,1.471717053056611E+08,-3.028464301836344E+01,4.847618208193681E-03
23-12-2022,-2.052588601821946E+06,1.471491196023536E+08,-3.028267514690736E+01,-5.277081833461295E-01
24-12-2022,-4.668557699703485E+06,1.470805157985526E+08,-3.027045190963409E+01,-1.060316125405401E+00
25-12-2022,-7.283026918045596E+06,1.469659078350681E+08,-3.024796210112924E+01,-1.592547402686662E+00
26-12-2022,-9.895112274760524E+06,1.468053465287223E+08,-3.021529186090579E+01,-2.123984576323821E+00
27-12-2022,-1.250394091681335E+07,1.465989167954814E+08,-3.017260811634863E+01,-2.654261274711731E+00
28-12-2022,-1.510865673622182E+07,1.463467321007327E+08,-3.012012539554566E+01,-3.183084990023909E+00
29-12-2022,-1.770842292013885E+07,1.460489278620434E+08,-3.005807045232100E+01,-3.710238828516334E+00
30-12-2022,-2.030242178607343E+07,1.457056554171176E+08,-2.998665607062584E+01,-4.235568207575143E+00
31-12-2022,-2.288985290594393E+07,1.453170774428174E+08,-2.990606761822097E+01,-4.758962096181074E+00
01-01-2023,-2.546993054069973E+07,1.448833649541957E+08,-2.981645982255353E+01,-5.280336055653292E+00
02-01-2023,-2.804188107196543E+07,1.444046955674877E+08,-2.971795916725095E+01,-5.799620133106834E+00
03-01-2023,-3.060494073908015E+07,1.438812525953776E+08,-2.961066805748142E+01,-6.316751523616042E+00
04-01-2023,-3.315835372794669E+07,1.433132246215975E+08,-2.949466857118910E+01,-6.831670527791745E+00
05-01-2023,-3.570137053588030E+07,1.427008053418583E+08,-2.937002506775076E+01,-7.344318186863595E+00
06-01-2023,-3.823324651656789E+07,1.420441935809278E+08,-2.923678582147404E+01,-7.854634425312366E+00
07-01-2023,-4.075324054305120E+07,1.413435934707077E+08,-2.909498421783805E+01,-8.362556135753362E+00
08-01-2023,-4.326061377456949E+07,1.405992147992048E+08,-2.894464003130399E+01,-8.868015165663492E+00
09-01-2023,-4.575462854790857E+07,1.398112735281222E+08,-2.878576104427161E+01,-9.370936488285480E+00
10-01-2023,-4.823454742141218E+07,1.389799924474772E+08,-2.861834491927157E+01,-9.871236911623807E+00
11-01-2023,-5.069963237866561E+07,1.381056019105086E+08,-2.844238094155827E+01,-1.036882452053965E+01
12-01-2023,-5.314914415830250E+07,1.371883405880736E+08,-2.825785110678155E+01,-1.086359873302469E+01
13-01-2023,-5.558234163193300E+07,1.362284562080308E+08,-2.806473008461001E+01,-1.135545047839372E+01
14-01-2023,-5.799848112146868E+07,1.352262063032390E+08,-2.786298385028611E+01,-1.184426165309202E+01
15-01-2023,-6.039681554810931E+07,1.341818590771204E+08,-2.765256725407572E+01,-1.232990274384243E+01
16-01-2023,-6.277659335841502E+07,1.330956945969420E+08,-2.743342153692533E+01,-1.281222743138933E+01
17-01-2023,-6.513705730230103E+07,1.319680066167513E+08,-2.720547382195041E+01,-1.329106333820207E+01
18-01-2023,-6.747744336224644E+07,1.307991053603413E+08,-2.696864172350592E+01,-1.376619928098131E+01
19-01-2023,-6.979698043357557E+07,1.295893214669989E+08,-2.672284667987358E+01,-1.423737184327661E+01
20-01-2023,-7.209489161812834E+07,1.283390109148348E+08,-2.646803798939359E+01,-1.470425748565054E+01
21-01-2023,-7.437039797258933E+07,1.270485600805062E+08,-2.620422448818437E+01,-1.516647868614129E+01
22-01-2023,-7.662272497421049E+07,1.257183894234474E+08,-2.593150348499380E+01,-1.562363003586361E+01
23-01-2023,-7.885111083984499E+07,1.243489541318521E+08,-2.565007239899743E+01,-1.607532087637936E+01
24-01-2023,-8.105481472729027E+07,1.229407408718073E+08,-2.536021386735307E+01,-1.652121974644620E+01
25-01-2023,-8.323312261248349E+07,1.214942612875949E+08,-2.506225881270022E+01,-1.696108254384138E+01
26-01-2023,-8.538534958334017E+07,1.200100441515740E+08,-2.475654350597332E+01,-1.739475530351555E+01
27-01-2023,-8.751083877280678E+07,1.184886282416054E+08,-2.444337679005342E+01,-1.782215630392407E+01
28-01-2023,-8.960895818996210E+07,1.169305572168376E+08,-2.412302445465932E+01,-1.824324987416101E+01
29-01-2023,-9.167909687582529E+07,1.153363767032008E+08,-2.379570828793030E+01,-1.865802280192093E+01
30-01-2023,-9.372066137549807E+07,1.137066331013895E+08,-2.346161319906001E+01,-1.906646840519340E+01
31-01-2023,-9.573307295161162E+07,1.120418734254569E+08,-2.312089645473425E+01,-1.946857834219928E+01
01-02-2023,-9.771576555240867E+07,1.103426455930435E+08,-2.277369553827438E+01,-1.986433990133891E+01
02-02-2023,-9.966818434739172E+07,1.086094988071863E+08,-2.242013335466865E+01,-2.025373619735731E+01
03-02-2023,-1.015897845975618E+08,1.068429838703403E+08,-2.206032085170046E+01,-2.063674727462571E+01
04-02-2023,-1.034800306643242E+08,1.050436534113559E+08,-2.169435774872009E+01,-2.101335086994730E+01
05-02-2023,-1.053383950309722E+08,1.032120620845740E+08,-2.132233224406505E+01,-2.138352224346423E+01
06-02-2023,-1.071643572842125E+08,1.013487668283398E+08,-2.094432050078094E+01,-2.174723299200646E+01
07-02-2023,-1.089574030633398E+08,9.945432726144120E+07,-2.056038648236135E+01,-2.210444910656973E+01
08-02-2023,-1.107170230206035E+08,9.752930626477429E+07,-2.017058238890762E+01,-2.245512870148202E+01
09-02-2023,-1.124427118433134E+08,9.557427075885166E+07,-1.977494961240863E+01,-2.279921980185209E+01
10-02-2023,-1.141339673700337E+08,9.358979266334896E+07,-1.937351989712218E+01,-2.313665833940064E+01
11-02-2023,-1.157902898030987E+08,9.157645002698211E+07,-1.896631636357021E+01,-2.346736614665957E+01
12-02-2023,-1.174111809986976E+08,8.953482835014796E+07,-1.855335429973671E+01,-2.379124838231111E+01
13-02-2023,-1.189961438283362E+08,8.746552218185252E+07,-1.813464215187069E+01,-2.410818963051018E+01
14-02-2023,-1.205446816741506E+08,8.536913713374808E+07,-1.771018389822140E+01,-2.441804809166450E+01
15-02-2023,-1.220562982575164E+08,8.324629247604500E+07,-1.727998477108011E+01,-2.472064806102832E+01
16-02-2023,-1.235304981911200E+08,8.109762440069546E+07,-1.684406264669105E+01,-2.501577247595447E+01
17-02-2023,-1.249667888185675E+08,7.892378978917742E+07,-1.640246651371267E+01,-2.530315954955091E+01
18-02-2023,-1.263646839119789E+08,7.672546988721186E+07,-1.595530035144613E+01,-2.558250930983179E+01
19-02-2023,-1.277237094436572E+08,7.450337279627642E+07,-1.550274569627609E+01,-2.585350495030184E+01
20-02-2023,-1.290434108637062E+08,7.225823347766775E+07,-1.504507200744207E+01,-2.611584820695600E+01
21-02-2023,-1.303233603873024E+08,6.999081041490982E+07,-1.458262556009760E+01,-2.636929900696599E+01
22-02-2023,-1.315631623548157E+08,6.770187922107524E+07,-1.411579702112504E+01,-2.661370396872442E+01
23-02-2023,-1.327624552627771E+08,6.539222471339726E+07,-1.364497946878226E+01,-2.684900234754667E+01
24-02-2023,-1.339209103449566E+08,6.306263348070575E+07,-1.317053296659045E+01,-2.707520979092700E+01
25-02-2023,-1.350382277788602E+08,6.071388845337564E+07,-1.269276587035603E+01,-2.729239040870822E+01
26-02-2023,-1.361141320377337E+08,5.834676593576901E+07,-1.221193305107782E+01,-2.750062946257610E+01
27-02-2023,-1.371483676026424E+08,5.596203468165386E+07,-1.172824473553575E+01,-2.770001407386754E+01
28-02-2023,-1.381406956327689E+08,5.356045622283510E+07,-1.124187880229574E+01,-2.789062334785240E+01
01-03-2023,-1.390908916636989E+08,5.114278571637648E+07,-1.075299172800622E+01,-2.807252574111373E+01
02-03-2023,-1.399987441109166E+08,4.870977281880465E+07,-1.026172612343605E+01,-2.824578057008158E+01
03-03-2023,-1.408640532648540E+08,4.626216234810229E+07,-9.768214636341037E+00,-2.841044105034860E+01
04-03-2023,-1.416866304883500E+08,4.380069468326762E+07,-9.272580881194742E+00,-2.856655710601328E+01
05-03-2023,-1.424662974004376E+08,4.132610597032928E+07,-8.774938363259608E+00,-2.871417691862344E+01
06-03-2023,-1.432028849174848E+08,3.883912826833636E+07,-8.275388422040837E+00,-2.885334672271454E+01
07-03-2023,-1.438962321099665E+08,3.634048979278947E+07,-7.774018176000224E+00,-2.898410877404225E+01
08-03-2023,-1.445461849131112E+08,3.383091540431153E+07,-7.270899320596238E+00,-2.910649778052204E+01
09-03-2023,-1.451525947934523E+08,3.131112745178729E+07,-6.766088382356052E+00,-2.922053638217221E+01
10-03-2023,-1.457153175103146E+08,2.878184702066337E+07,-6.259628668846404E+00,-2.932623041653070E+01
11-03-2023,-1.462342121150874E+08,2.624379557493768E+07,-5.751553772456134E+00,-2.942356463135544E+01
12-03-2023,-1.467091403069506E+08,2.369769693557557E+07,-5.241892248837393E+00,-2.951249921418043E+01
13-03-2023,-1.471399662309138E+08,2.114427952229345E+07,-4.730673145583375E+00,-2.959296714092325E+01
14-03-2023,-1.475265567900000E+08,1.858427879610950E+07,-4.217932424899797E+00,-2.966487215075571E+01
15-03-2023,-1.478687825692304E+08,1.601843985060159E+07,-3.703720832441642E+00,-2.972808738258078E+01
16-03-2023,-1.481665195321203E+08,1.344752006732288E+07,-3.188114041179043E+00,-2.978245547724071E+01
17-03-2023,-1.484196517094876E+08,1.087229163340192E+07,-2.671225445485055E+00,-2.982779208295121E+01
18-03-2023,-1.486280750727092E+08,8.293543509286717E+06,-2.153220385185046E+00,-2.986389556285297E+01
19-03-2023,-1.487917025708406E+08,5.712082200850855E+06,-1.634327999602640E+00,-2.989056518123247E+01
20-03-2023,-1.489104698755766E+08,3.128730600868176E+06,-1.114844669751016E+00,-2.990762712515288E+01
21-03-2023,-1.489843408482211E+08,5.443244243558558E+05,-5.951234799168296E-01,-2.991496283979942E+01
22-03-2023,-1.490133114380463E+08,-2.040293569454245E+06,-7.554891005055960E-02,-2.991253023973918E+01
23-03-2023,-1.489974109649276E+08,-4.624280555691449E+06,4.434967775108941E-01,-2.990036927907190E+01
24-03-2023,-1.489367005357467E+08,-7.206800325768847E+06,9.616643626998167E-01,-2.987858989645234E+01
25-03-2023,-1.488312692740244E+08,-9.787028357654285E+06,1.478656384608797E+00,-2.984734824590076E+01
26-03-2023,-1.486812295797899E+08,-1.236415467455933E+07,1.994231032978342E+00,-2.980682086807981E+01
27-03-2023,-1.484867125786353E+08,-1.493738467750293E+07,2.508194825558067E+00,-2.975718453771692E+01
28-03-2023,-1.482478644654080E+08,-1.750593860804110E+07,3.020390249534876E+00,-2.969860482268966E+01
29-03-2023,-1.479648439371568E+08,-2.006905037497470E+07,3.530683590044714E+00,-2.963123243325505E+01
30-03-2023,-1.476378205576179E+08,-2.262596630676583E+07,4.038955823865716E+00,-2.955520466128456E+01
31-03-2023,-1.472669737403861E+08,-2.517594414686353E+07,4.545097420246226E+00,-2.947064915141012E+01
01-04-2023,-1.468524920221612E+08,-2.771825239756944E+07,5.049006712961606E+00,-2.937768791313004E+01
02-04-2023,-1.463945723515214E+08,-3.025216996908755E+07,5.550591010313408E+00,-2.927644019246514E+01
03-04-2023,-1.458934191994606E+08,-3.277698599493625E+07,6.049769434148052E+00,-2.916702334132522E+01
04-04-2023,-1.453492433896990E+08,-3.529199961725364E+07,6.546476371674894E+00,-2.904955119974458E+01
05-04-2023,-1.447622606483364E+08,-3.779651951953595E+07,7.040664306181922E+00,-2.892412988699072E+01
06-04-2023,-1.441326899822130E+08,-4.028986299590866E+07,7.532304742949054E+00,-2.879085139690162E+01
07-04-2023,-1.434607521006482E+08,-4.277135440604861E+07,8.021386129123417E+00,-2.864978599936381E+01
08-04-2023,-1.427466681696415E+08,-4.524032297604124E+07,8.507908209646088E+00,-2.850097498482594E+01
