date,x,y,vx,vy
23-09-2022,-1.014319519875520E+08,3.525562675248842E+07,-1.166353075744313E+01,-3.324015683726970E+01
24-09-2022,-1.023991898725976E+08,3.237003052472993E+07,-1.072479530799986E+01,-3.355160759449309E+01
25-09-2022,-1.032849588655006E+08,2.945868029043187E+07,-9.777804806530630E+00,-3.383627680703292E+01
26-09-2022,-1.040885789997481E+08,2.652389939073635E+07,-8.823330335747377E+00,-3.409395031318174E+01
27-09-2022,-1.048094371650043E+08,2.356802868509425E+07,-7.862148292484899E+00,-3.432443677931577E+01
28-09-2022,-1.054469875358599E+08,2.059342457379427E+07,-6.895039683929928E+00,-3.452756781460504E+01
29-09-2022,-1.060007519397142E+08,1.760245701159451E+07,-5.922789422550552E+00,-3.470319806227350E+01
30-09-2022,-1.064703201637136E+08,1.459750751447914E+07,-4.946185620606574E+00,-3.485120526750011E+01
01-10-2022,-1.068553502007496E+08,1.158096716155276E+07,-3.966018885109705E+00,-3.497149032209750E+01
02-10-2022,-1.071555684345919E+08,8.555234594071340E+06,-2.983081614088029E+00,-3.506397728615127E+01
03-10-2022,-1.073707697643048E+08,5.522714013590649E+06,-1.998167294991984E+00,-3.512861338685024E+01
04-10-2022,-1.075008176681677E+08,2.485813181191272E+06,-1.012069806058970E+00,-3.516536899478703E+01
05-10-2022,-1.075456442073866E+08,-5.530585802845247E+05,-2.558272127379942E-02,-3.517423757796020E+01
06-10-2022,-1.075052499699381E+08,-3.591492379069511E+06,9.605013801588158E-01,-3.515523563384289E+01
07-10-2022,-1.073797039549721E+08,-6.627081740505608E+06,1.945391599276699E+00,-3.510840259983850E+01
08-10-2022,-1.071691433982297E+08,-9.657424584413379E+06,2.928299397076793E+00,-3.503380074233837E+01
09-10-2022,-1.068737735390113E+08,-1.268012519196748E+07,3.908439267729362E+00,-3.493151502479657E+01
10-10-2022,-1.064938673292803E+08,-1.569279616027764E+07,4.885029404704547E+00,-3.480165295511239E+01
11-10-2022,-1.060297650855446E+08,-1.869306034290117E+07,5.857292359111364E+00,-3.464434441264515E+01
12-10-2022,-1.054818740842193E+08,-2.167855277454298E+07,6.824455689558080E+00,-3.445974145523829E+01
13-10-2022,-1.048506681012319E+08,-2.464692257823401E+07,7.785752602857912E+00,-3.424801810667593E+01
14-10-2022,-1.041366868966898E+08,-2.759583485331726E+07,8.740422584925055E+00,-3.400937012503845E+01
15-10-2022,-1.033405356454847E+08,-3.052297254261246E+07,9.687712021233366E+00,-3.374401475246077E+01
16-10-2022,-1.024628843147620E+08,-3.342603827717589E+07,1.062687480624325E+01,-3.345219044683105E+01
17-10-2022,-1.015044669892325E+08,-3.630275619711892E+07,1.155717294124183E+01,-3.313415659599590E+01
18-10-2022,-1.004660811453493E+08,-3.915087374699943E+07,1.247787712008712E+01,-3.279019321506282E+01
19-10-2022,-9.934858687541610E+07,-4.196816344435185E+07,1.338826730239836E+01,-3.242060062740996E+01
20-10-2022,-9.815290606272881E+07,-4.475242461997508E+07,1.428763327379287E+01,-3.202569913002864E+01
21-10-2022,-9.688002150888640E+07,-4.750148512864748E+07,1.517527519274266E+01,-3.160582864367409E+01
22-10-2022,-9.553097601444681E+07,-5.021320302898390E+07,1.605050412369684E+01,-3.116134834862121E+01
23-10-2022,-9.410687141412157E+07,-5.288546823122207E+07,1.691264255618893E+01,-3.069263630650433E+01
24-10-2022,-9.260886756774142E+07,-5.551620411175194E+07,1.776102490954002E+01,-3.020008906882489E+01
25-10-2022,-9.103818130824411E+07,-5.810336909327140E+07,1.859499802295890E+01,-2.968412127282804E+01
26-10-2022,-8.939608534795909E+07,-6.064495818949874E+07,1.941392163074418E+01,-2.914516522528638E+01
27-10-2022,-8.768390714448676E+07,-6.313900451342393E+07,2.021716882236491E+01,-2.858367047480561E+01
28-10-2022,-8.590302772748713E+07,-6.558358074813316E+07,2.100412648721861E+01,-2.800010337326167E+01
29-10-2022,-8.405488048770994E+07,-6.797680057929379E+07,2.177419574388909E+01,-2.739494662697460E+01
